# Поправки ударений: модель ставит иначе, против неё словари AOT и Викисловаря вместе или словарь Демагога с одним из них (tools/stress_fixes.txt)
аблативными аблат+ивными
вараждин вар+аждин
вараждина вар+аждина
вараждине вар+аждине
вараждину вар+аждину
вараздат варазд+ат
вараздата варазд+ата
вараздатович варазд+атович
варакка в+аракка
вараксин вар+аксин
варангал вар+ангал
варангала вар+ангала
варангале вар+ангале
варандея варанд+ея
вараха вар+аха
варахаил вараха+ил
варварина варв+арина
варварино варв+арино
варваровка варв+аровка
варваровкой варв+аровкой
варваровское варв+аровское
варгас в+аргас
варгаса в+аргаса
варгасе в+аргасе
варгасов в+аргасов
варгасом в+аргасом
варгасу в+аргасу
варгафтика варг+афтика
варгафтиком варг+афтиком
варгашинская варгаш+инская
варгашинский варгаш+инский
варгин в+аргин
варгина в+аргина
варгиной в+аргиной
варгину в+аргину
варгиным в+аргиным
варгиных в+аргиных
варго варг+о
вардака вард+ака
вардаке вард+аке
вардан вард+ан
варданом вард+аном
вардану вард+ану
варданян вардан+ян
вардапет вардап+ет
вардарская в+ардарская
вардарский в+ардарский
вардарского в+ардарского
вардарской в+ардарской
вардарскую в+ардарскую
вардгес вардг+ес
вардгеса вардг+еса
вардена в+ардена
вардени в+ардени
варденис варден+ис
вардениса варден+иса
варденисе варден+исе
варденом в+арденом
вардену в+ардену
вардены в+ардены
варди в+арди
вардиноянниса вардино+янниса
вардо в+ардо
варегема в+арегема
варегеме в+арегеме
вареговское в+ареговское
вареж в+ареж
варежа в+арежа
варежао вареж+ао
вареже в+ареже
варези вар+ези
варейкиса вар+ейкиса
варем вар+ем
варенгьен варенгь+ен
варенгьена варенгь+ена
варенгьеном варенгь+еном
вареной варен+ой
варенский вар+енский
варенского вар+енского
варенском вар+енском
варес в+арес
вареса в+ареса
варесом в+аресом
варесу в+аресу
варзар в+арзар
варзара в+арзара
варзаром в+арзаром
варзары в+арзары
варзее в+арзее
варзин варз+ин
варзина варз+ина
варзуга в+арзуга
варзуге в+арзуге
варзуги в+арзуги
варзугой в+арзугой
варзугу в+арзугу
варивончик варив+ончик
варик в+арик
вариком в+ариком
варин в+арин
варином в+арином
варис в+арис
вариса в+ариса
варисов в+арисов
варисом в+арисом
вариссуо в+ариссуо
варису в+арису
варковицкий варков+ицкий
